epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.4499,0.87678,1.34399,1.17411,0.90769,0.91743,0.93474,0.6887,0.92575,1.23191,1.4886,0.000660317,0.000660317,0.000660317
2,116.796,0.83796,0.74236,1.14398,0.95533,0.93578,0.94753,0.70157,0.97047,0.76447,1.43141,0.00131385,0.00131385,0.00131385
3,146.805,0.84748,0.63861,1.14513,0.93521,0.89908,0.90968,0.69193,0.92628,0.77724,1.42656,0.00195418,0.00195418,0.00195418
4,280.462,0.81524,0.55459,1.1253,0.76141,0.93119,0.80501,0.61927,0.85314,0.90788,1.27251,0.0019406,0.0019406,0.0019406
5,309.459,0.81452,0.51447,1.12145,0.93476,0.92012,0.93714,0.68893,0.9725,0.6926,1.31258,0.0019208,0.0019208,0.0019208
6,338.431,0.77959,0.49072,1.10911,0.95741,0.94037,0.94975,0.73631,0.86087,0.62945,1.28761,0.001901,0.001901,0.001901
7,368.27,0.7947,0.48542,1.12022,0.91849,0.87879,0.89696,0.68547,0.92414,0.70928,1.2446,0.0018812,0.0018812,0.0018812
8,398.847,0.77492,0.4806,1.1088,0.93168,0.94495,0.94094,0.74072,0.8073,0.66905,1.21595,0.0018614,0.0018614,0.0018614
9,429.342,0.77756,0.45968,1.10583,0.95002,0.92661,0.94182,0.75395,0.81916,0.51147,1.20981,0.0018416,0.0018416,0.0018416
10,459.71,0.77592,0.46347,1.10762,0.92402,0.9484,0.95376,0.74869,0.84648,0.51353,1.18462,0.0018218,0.0018218,0.0018218
11,490.216,0.74119,0.44443,1.08523,0.95364,0.93578,0.95046,0.77924,0.72464,0.47682,1.15686,0.001802,0.001802,0.001802
12,622.704,0.75988,0.44178,1.09574,0.91067,0.61927,0.71633,0.52424,1.03868,1.34674,1.39063,0.0017822,0.0017822,0.0017822
13,657.758,0.75779,0.43906,1.09444,0.97143,0.9357,0.95441,0.78261,0.75181,0.46475,1.16977,0.0017624,0.0017624,0.0017624
14,688.197,0.74335,0.44162,1.08339,0.94884,0.9358,0.96439,0.78548,0.77773,0.4575,1.16655,0.0017426,0.0017426,0.0017426
15,718.669,0.73455,0.43118,1.0711,0.95463,0.93578,0.95019,0.77444,0.73437,0.48136,1.13395,0.0017228,0.0017228,0.0017228
16,747.672,0.73097,0.42595,1.08598,0.94581,0.94495,0.95997,0.762,0.8446,0.60741,1.24287,0.001703,0.001703,0.001703
17,776.07,0.72215,0.42899,1.07626,0.92525,0.9653,0.96108,0.78909,0.74704,0.43017,1.17553,0.0016832,0.0016832,0.0016832
18,804.082,0.71273,0.41068,1.07153,0.94822,0.92412,0.94332,0.77531,0.73051,0.52481,1.13369,0.0016634,0.0016634,0.0016634
19,832.572,0.71309,0.40607,1.071,0.95938,0.94954,0.96852,0.79008,0.73396,0.41906,1.13331,0.0016436,0.0016436,0.0016436
20,860.925,0.7221,0.41189,1.073,0.94907,0.94027,0.95632,0.7848,0.72962,0.43173,1.145,0.0016238,0.0016238,0.0016238
21,889,0.70762,0.41009,1.07026,0.94041,0.96789,0.95921,0.77565,0.75023,0.45781,1.16932,0.001604,0.001604,0.001604
22,917.099,0.69574,0.40472,1.06366,0.96185,0.94037,0.95696,0.76721,0.79192,0.53596,1.23399,0.0015842,0.0015842,0.0015842
23,944.757,0.6989,0.39473,1.0655,0.96696,0.93965,0.94436,0.77447,0.73205,0.50302,1.14472,0.0015644,0.0015644,0.0015644
24,972.549,0.69881,0.39841,1.06405,0.96498,0.9633,0.97252,0.81554,0.69239,0.39173,1.12786,0.0015446,0.0015446,0.0015446
25,1000.58,0.68527,0.39277,1.06031,0.86954,0.91721,0.94262,0.78492,0.72276,0.55535,1.15617,0.0015248,0.0015248,0.0015248
26,1029.32,0.6899,0.40389,1.06141,0.94808,0.96789,0.9717,0.80501,0.72391,0.43837,1.17656,0.001505,0.001505,0.001505
27,1057.25,0.69134,0.38966,1.06263,0.95762,0.93287,0.96276,0.79251,0.71919,0.43087,1.13602,0.0014852,0.0014852,0.0014852
28,1085.08,0.6714,0.37652,1.0544,0.9422,0.97203,0.97047,0.80163,0.71929,0.37906,1.14594,0.0014654,0.0014654,0.0014654
29,1112.65,0.67226,0.38624,1.05386,0.95876,0.96789,0.97338,0.81389,0.69358,0.36005,1.12478,0.0014456,0.0014456,0.0014456
30,1140.31,0.67341,0.38284,1.05359,0.94947,0.94816,0.96413,0.78487,0.74948,0.41513,1.11394,0.0014258,0.0014258,0.0014258
31,1438.5,0.67541,0.3859,1.04932,0.95494,0.97221,0.96464,0.80047,0.68382,0.35424,1.11699,0.001406,0.001406,0.001406
32,1466.33,0.67543,0.38627,1.05252,0.93813,0.95413,0.95395,0.78914,0.7586,0.48469,1.15929,0.0013862,0.0013862,0.0013862
33,1493.67,0.67251,0.38093,1.05517,0.96392,0.95413,0.96806,0.79695,0.69177,0.45616,1.12689,0.0013664,0.0013664,0.0013664
34,1521.13,0.66775,0.38192,1.04352,0.9632,0.96047,0.94838,0.78665,0.72828,0.4738,1.13633,0.0013466,0.0013466,0.0013466
35,1548.55,0.67004,0.38515,1.05391,0.95183,0.93119,0.95832,0.7912,0.70603,0.46297,1.1074,0.0013268,0.0013268,0.0013268
36,1576,0.65363,0.38046,1.04519,0.93859,0.98146,0.97491,0.80735,0.69589,0.37103,1.11494,0.001307,0.001307,0.001307
37,1604.44,0.66327,0.37266,1.04067,0.93811,0.97351,0.97034,0.80782,0.72819,0.39465,1.11578,0.0012872,0.0012872,0.0012872
38,1667.93,0.64864,0.3739,1.04269,0.9674,0.95279,0.96472,0.81155,0.68102,0.41251,1.09503,0.0012674,0.0012674,0.0012674
39,1696.4,0.64878,0.36659,1.03076,0.96347,0.96775,0.96717,0.82063,0.67621,0.35447,1.0961,0.0012476,0.0012476,0.0012476
40,1724.24,0.65246,0.37033,1.04431,0.9581,0.95413,0.96546,0.81516,0.67426,0.4458,1.09859,0.0012278,0.0012278,0.0012278
41,1752.4,0.64847,0.37902,1.04284,0.95071,0.95413,0.96666,0.79934,0.73681,0.3855,1.1177,0.001208,0.001208,0.001208
42,1780.45,0.6377,0.36508,1.03576,0.96311,0.95808,0.96473,0.81206,0.67259,0.38907,1.11291,0.0011882,0.0011882,0.0011882
43,1808.44,0.63302,0.3623,1.03952,0.96212,0.94954,0.9651,0.80585,0.71194,0.37165,1.11629,0.0011684,0.0011684,0.0011684
44,1836.94,0.63772,0.36194,1.0371,0.9548,0.97248,0.96841,0.81446,0.68115,0.35963,1.11153,0.0011486,0.0011486,0.0011486
45,2095.5,0.64038,0.36413,1.03905,0.91887,0.9633,0.96403,0.8144,0.70646,0.42713,1.15606,0.0011288,0.0011288,0.0011288
46,2123.38,0.63004,0.35254,1.0378,0.93511,0.94495,0.94916,0.79518,0.69383,0.43473,1.10423,0.001109,0.001109,0.001109
47,2151.07,0.64208,0.36956,1.04531,0.94245,0.95413,0.96399,0.80227,0.71002,0.42471,1.12414,0.0010892,0.0010892,0.0010892
48,2178.62,0.63895,0.36336,1.04071,0.95064,0.97179,0.97042,0.8147,0.68707,0.37609,1.11066,0.0010694,0.0010694,0.0010694
49,2206.34,0.63419,0.36679,1.03866,0.95823,0.947,0.96863,0.80579,0.67959,0.48068,1.10569,0.0010496,0.0010496,0.0010496
50,2234.12,0.62778,0.35645,1.02873,0.96307,0.9569,0.97554,0.82214,0.67273,0.36817,1.09553,0.0010298,0.0010298,0.0010298
51,2261.75,0.61213,0.34494,1.02903,0.96134,0.96789,0.9796,0.8271,0.66724,0.36332,1.07408,0.00101,0.00101,0.00101
52,2289.55,0.622,0.35597,1.03087,0.95871,0.94037,0.9701,0.80906,0.67345,0.40298,1.09024,0.0009902,0.0009902,0.0009902
